City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Philippe,RE,2021-10-22 00:57:31,-21.3585,55.7679,71.19,77,1,8.16
1,Kurtalan,TR,2021-10-22 00:57:32,37.9272,41.7028,44.82,34,0,3.11
2,Albany,US,2021-10-22 00:57:04,42.6001,-73.9662,62.31,75,6,4.16
3,Payo,ID,2021-10-22 00:57:32,-3.7508,103.6372,76.98,89,100,0.36
4,Alice Springs,AU,2021-10-22 00:57:33,-23.7,133.8833,87.35,16,0,13.8
5,Barrow,US,2021-10-22 00:57:33,71.2906,-156.7887,28.42,93,90,4.61
6,Ilo,PE,2021-10-22 00:57:33,-17.6394,-71.3375,60.82,83,39,4.29
7,Kaitangata,NZ,2021-10-22 00:57:34,-46.2817,169.8464,60.1,55,0,8.9
8,Bellavista,PE,2021-10-22 00:57:34,-7.0561,-76.5911,83.48,86,100,1.74
9,Yulara,AU,2021-10-22 00:57:34,-25.2406,130.9889,85.84,16,0,9.22
10,Atuona,PF,2021-10-22 00:57:35,-9.8,-139.0333,77.88,77,17,18.05
11,Nikolskoye,RU,2021-10-22 00:57:35,59.7035,30.7861,52.88,72,100,17.45
12,Ushuaia,AR,2021-10-22 00:56:55,-54.8,-68.3,38.86,81,40,20.71
13,Rocha,UY,2021-10-22 00:57:36,-34.4833,-54.3333,51.4,91,0,6.71
14,Merauke,ID,2021-10-22 00:57:36,-8.4667,140.3333,85.86,64,21,6.73
15,Waitati,NZ,2021-10-22 00:57:36,-45.75,170.5667,55.8,67,4,9.98
16,Okhotsk,RU,2021-10-22 00:57:37,59.3833,143.3,17.83,63,83,5.77
17,Yellowknife,CA,2021-10-22 00:57:37,62.456,-114.3525,43.41,71,20,14.97
18,Calvinia,ZA,2021-10-22 00:57:37,-31.4707,19.776,52.38,92,78,8.79
19,Hilo,US,2021-10-22 00:53:27,19.7297,-155.09,82.27,69,3,4.0
20,Punta Arenas,CL,2021-10-22 00:57:08,-53.15,-70.9167,44.71,57,40,14.97
21,Mana,GF,2021-10-22 00:57:38,5.6592,-53.7767,79.34,87,100,9.57
22,Acapulco,MX,2021-10-22 00:57:38,16.8634,-99.8901,80.28,82,100,1.74
23,Severobaykalsk,RU,2021-10-22 00:57:39,55.65,109.3167,33.35,73,22,3.42
24,Jamestown,US,2021-10-22 00:57:05,42.097,-79.2353,58.08,95,75,14.0
25,Robertsport,LR,2021-10-22 00:57:39,6.7533,-11.3686,79.05,82,100,6.11
26,Nagold,DE,2021-10-22 00:57:39,48.5498,8.7237,47.16,79,49,3.4
27,Isangel,VU,2021-10-22 00:57:40,-19.55,169.2667,82.51,69,75,0.0
28,Changde,CN,2021-10-22 00:57:40,29.0464,111.6783,57.97,79,100,4.0
29,Airai,TL,2021-10-22 00:57:40,-8.9266,125.4092,78.75,38,79,1.3
30,Katsuura,JP,2021-10-22 00:57:41,35.1333,140.3,55.42,89,100,17.36
31,Belmonte,BR,2021-10-22 00:57:41,-15.8631,-38.8828,72.1,91,100,10.92
32,Victoria,HK,2021-10-22 00:56:17,22.2855,114.1577,67.24,81,100,1.01
33,Tongzi,CN,2021-10-22 00:57:42,28.7829,105.0877,54.61,93,100,2.37
34,Port Alfred,ZA,2021-10-22 00:57:42,-33.5906,26.891,65.35,81,100,2.39
35,Policoro,IT,2021-10-22 00:57:43,40.2115,16.6726,61.9,81,10,3.87
