City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,George Town,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
4,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
7,Auki,SB,88.0,overcast clouds,-8.7676,160.7034,Auki Motel
8,Atuona,PF,77.72,clear sky,-9.8,-139.0333,Villa Enata
15,Bengkulu,ID,75.56,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
25,Caravelas,BR,75.31,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
26,Bima,ID,89.46,overcast clouds,-8.4667,118.7167,Lambitu Hotel
34,Bilma,NE,79.23,clear sky,18.6853,12.9164,Expeditions Ténére voyages
35,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Flinders,AU,76.8,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
42,Bosaso,SO,76.5,few clouds,11.2842,49.1816,Red Sea Hotel
46,Butaritari,KI,82.67,few clouds,3.0707,172.7902,Isles Sunset Lodge
48,San Patricio,US,81.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
51,Buala,SB,86.38,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
59,Maumere,ID,85.6,broken clouds,-8.6199,122.2111,Sylvia Hotel
63,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
68,Hithadhoo,MV,83.75,overcast clouds,-0.6,73.0833,Scoop Guest House
70,Pandan,PH,81.39,overcast clouds,14.0453,124.1694,Bonifacio Lodge
76,Labuhan,ID,84.51,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
79,Takoradi,GH,76.93,overcast clouds,4.8845,-1.7554,Raybow International Hotel
80,Kavieng,PG,85.42,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
81,Ixtapa,MX,81.63,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
82,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
84,Aldama,MX,83.5,broken clouds,22.9167,-98.0667,CASA CANYE
89,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
90,Riachao Das Neves,BR,79.02,overcast clouds,-11.7461,-44.91,Casa Costa
96,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
98,Cabo San Lucas,MX,82.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
100,Sao Filipe,CV,79.16,broken clouds,14.8961,-24.4956,Hotel Xaguate
112,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
