City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Caernarfon,GB,53.1413,-4.2702,60.71,40,90,25.32,overcast clouds
1,George Town,MY,5.4112,100.3354,82.33,78,20,2.3,few clouds
2,Aldan,RU,58.6031,125.3894,29.91,97,100,10.96,snow
3,Partizanskoye,RU,55.5006,94.39,47.12,51,100,21.99,overcast clouds
4,San Andres,CO,12.5847,-81.7006,84.22,74,20,8.05,few clouds
5,Tasiilaq,GL,65.6145,-37.6368,37.56,80,100,8.7,overcast clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,68.56,92,95,3.0,overcast clouds
7,Auki,SB,-8.7676,160.7034,88.0,60,89,4.88,overcast clouds
8,Atuona,PF,-9.8,-139.0333,77.72,68,4,13.2,clear sky
9,Forest,US,37.3638,-79.2897,53.65,58,20,1.01,few clouds
10,Boda,CF,4.3189,17.4695,69.37,97,100,2.66,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,40.66,81,20,11.5,few clouds
12,Snasa,NO,64.2457,12.3778,37.49,97,100,5.23,overcast clouds
13,Castro,BR,-24.7911,-50.0119,58.57,93,90,7.11,overcast clouds
14,Dryden,CA,49.7833,-92.7503,39.4,73,100,12.03,overcast clouds
15,Bengkulu,ID,-3.8004,102.2655,75.56,91,100,10.49,overcast clouds
16,San Quintin,MX,30.4833,-115.95,63.01,70,0,18.75,clear sky
17,Kamenka,RU,51.3223,42.7678,32.61,55,100,8.66,overcast clouds
18,Peniche,PT,39.3558,-9.3811,66.61,84,7,9.17,clear sky
19,Albany,US,42.6001,-73.9662,53.8,93,100,1.99,overcast clouds
20,Ribeira Grande,PT,38.5167,-28.7,70.57,88,100,23.89,overcast clouds
21,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.15,93,100,4.45,overcast clouds
22,Cap Malheureux,MU,-19.9842,57.6142,72.46,70,7,7.0,clear sky
23,Bonavista,CA,48.6499,-53.1147,40.12,72,6,9.55,clear sky
24,Arraial Do Cabo,BR,-22.9661,-42.0278,71.83,96,100,8.32,light rain
25,Caravelas,BR,-17.7125,-39.2481,75.31,82,9,6.42,clear sky
26,Bima,ID,-8.4667,118.7167,89.46,57,100,2.17,overcast clouds
27,Lewistown,US,40.5992,-77.5714,49.42,84,90,14.97,overcast clouds
28,Jabinyanah,TN,35.035,10.9081,65.52,74,100,19.53,overcast clouds
29,Narsaq,GL,60.9167,-46.05,32.22,59,89,8.01,overcast clouds
30,Mochudi,BW,-24.4167,26.15,64.13,77,6,14.34,clear sky
31,Xiantao,CN,30.3833,113.4,64.33,58,90,5.26,overcast clouds
32,Rikitea,PF,-23.1203,-134.9692,74.53,84,100,13.56,moderate rain
33,Filadelfia,US,39.9523,-75.1638,53.22,81,75,5.01,broken clouds
34,Bilma,NE,18.6853,12.9164,79.23,16,0,4.72,clear sky
35,Kapaa,US,22.0752,-159.319,82.38,72,1,5.01,clear sky
36,Mataura,NZ,-46.1927,168.8643,65.21,60,94,4.38,overcast clouds
37,Tiksi,RU,71.6872,128.8694,13.37,95,100,2.51,overcast clouds
38,Flinders,AU,-34.5833,150.8552,76.8,68,3,7.0,clear sky
39,Bereda,ES,43.2686,-7.5406,50.41,100,55,1.61,broken clouds
40,Yellowknife,CA,62.456,-114.3525,40.41,100,90,4.61,light rain
41,Busselton,AU,-33.65,115.3333,53.04,82,100,12.55,overcast clouds
42,Bosaso,SO,11.2842,49.1816,76.5,64,15,4.7,few clouds
43,Ilulissat,GL,69.2167,-51.1,12.22,57,0,5.75,clear sky
44,Bredasdorp,ZA,-34.5322,20.0403,64.27,85,100,16.11,overcast clouds
45,Muyezerskiy,RU,63.9333,31.65,41.68,98,100,9.04,light rain
46,Butaritari,KI,3.0707,172.7902,82.67,74,14,10.42,few clouds
47,Kodiak,US,57.79,-152.4072,39.27,52,90,16.11,overcast clouds
48,San Patricio,US,28.017,-97.5169,81.84,79,96,15.28,overcast clouds
49,Vostok,RU,46.4856,135.8833,37.36,94,100,2.89,overcast clouds
50,Dauphin,CA,51.1494,-100.0502,50.16,58,100,12.39,overcast clouds
51,Buala,SB,-8.145,159.5921,86.38,67,95,4.59,overcast clouds
52,Necochea,AR,-38.5473,-58.7368,59.04,44,0,10.2,clear sky
53,Nikolskoye,RU,59.7035,30.7861,44.87,94,100,8.61,overcast clouds
54,Aklavik,CA,68.2191,-135.0107,26.6,93,90,4.61,light snow
55,Hobart,AU,-42.8794,147.3294,68.05,51,20,1.99,few clouds
56,Hofn,IS,64.2539,-15.2082,42.78,80,100,13.31,overcast clouds
57,Upernavik,GL,72.7868,-56.1549,16.75,46,97,2.3,overcast clouds
58,Olafsvik,IS,64.8945,-23.7142,41.81,87,100,37.85,light rain
59,Maumere,ID,-8.6199,122.2111,85.6,69,80,2.86,broken clouds
60,New Norfolk,AU,-42.7826,147.0587,67.71,36,0,3.27,clear sky
61,Chuy,UY,-33.6971,-53.4616,67.37,83,0,6.91,clear sky
62,Thompson,CA,55.7435,-97.8558,37.56,93,90,5.75,overcast clouds
63,Avarua,CK,-21.2078,-159.775,78.85,65,40,13.8,scattered clouds
64,Pontes E Lacerda,BR,-15.2261,-59.3353,71.98,75,99,2.28,overcast clouds
65,Mehamn,NO,71.0357,27.8492,32.85,60,100,21.23,overcast clouds
66,Saint-Augustin,CA,51.226,-58.6502,38.93,72,11,6.04,few clouds
67,Coquimbo,CL,-29.9533,-71.3436,55.13,94,20,5.75,few clouds
68,Hithadhoo,MV,-0.6,73.0833,83.75,69,100,15.35,overcast clouds
69,Constitucion,CL,-35.3333,-72.4167,53.2,89,9,14.94,clear sky
70,Pandan,PH,14.0453,124.1694,81.39,84,98,12.5,overcast clouds
71,Katsuura,JP,35.1333,140.3,63.1,80,100,8.63,overcast clouds
72,Richards Bay,ZA,-28.783,32.0377,66.09,90,100,5.08,overcast clouds
73,Saskylakh,RU,71.9167,114.0833,1.24,97,100,2.08,overcast clouds
74,Huilong,CN,31.8111,121.655,72.03,61,92,9.82,overcast clouds
75,Mount Isa,AU,-20.7333,139.5,96.57,23,0,5.75,clear sky
76,Labuhan,ID,-6.8844,112.2051,84.51,68,100,7.11,overcast clouds
77,Mar Del Plata,AR,-38.0023,-57.5575,55.42,76,0,0.0,clear sky
78,Nemuro,JP,43.3236,145.575,53.65,76,1,4.5,clear sky
79,Takoradi,GH,4.8845,-1.7554,76.93,89,100,4.43,overcast clouds
80,Kavieng,PG,-2.5744,150.7967,85.42,65,96,3.74,overcast clouds
81,Ixtapa,MX,20.7,-105.2,81.63,69,90,8.05,overcast clouds
82,Hilo,US,19.7297,-155.09,80.33,74,20,8.05,few clouds
83,Clyde River,CA,70.4692,-68.5914,22.51,82,100,4.32,overcast clouds
84,Aldama,MX,22.9167,-98.0667,83.5,92,53,6.96,broken clouds
85,Ostrovnoy,RU,68.0531,39.5131,30.96,84,100,18.88,light snow
86,Punta Arenas,CL,-53.15,-70.9167,42.12,70,14,13.42,few clouds
87,Barra Do Garcas,BR,-15.89,-52.2567,74.37,85,100,2.91,overcast clouds
88,Kushmurun,KZ,52.4503,64.6311,28.96,56,33,10.11,scattered clouds
89,Vaini,TO,-21.2,-175.2,78.96,78,20,14.97,few clouds
90,Riachao Das Neves,BR,-11.7461,-44.91,79.02,52,100,9.19,overcast clouds
91,Zambezi,ZM,-13.5432,23.1047,66.61,90,100,4.43,overcast clouds
92,Tank,PK,32.2217,70.3793,69.93,40,0,2.26,clear sky
93,Salvacion,PH,7.9833,126.1333,82.58,80,98,1.83,overcast clouds
94,Bambous Virieux,MU,-20.3428,57.7575,72.21,67,40,13.98,scattered clouds
95,Labytnangi,RU,66.6572,66.4183,14.36,86,87,6.42,overcast clouds
96,Georgetown,MY,5.4112,100.3354,82.33,81,20,2.3,few clouds
97,Harer,ET,9.3094,42.1258,56.77,78,5,1.07,clear sky
98,Cabo San Lucas,MX,22.8909,-109.9124,82.62,67,40,5.01,scattered clouds
99,Tabas,IR,33.5959,56.9244,58.66,23,0,1.21,clear sky
100,Sao Filipe,CV,14.8961,-24.4956,79.16,77,61,10.58,broken clouds
101,Bluff,NZ,-46.6,168.3333,57.11,77,62,0.65,broken clouds
102,Lagoa,PT,39.05,-27.9833,69.35,87,100,30.78,overcast clouds
103,Bilibino,RU,68.0546,166.4372,-13.23,99,98,0.89,overcast clouds
104,Qaanaaq,GL,77.484,-69.3632,19.67,94,100,13.44,light snow
105,Srednekolymsk,RU,67.45,153.6833,0.05,93,32,2.77,scattered clouds
106,Vestmannaeyjar,IS,63.4427,-20.2734,45.54,85,100,19.1,moderate rain
107,Hermanus,ZA,-34.4187,19.2345,64.9,82,95,17.65,overcast clouds
108,Hibbing,US,47.4272,-92.9377,40.44,81,1,12.66,clear sky
109,Lubu,CN,23.1742,112.2809,71.62,78,100,2.53,overcast clouds
110,Beringovskiy,RU,63.05,179.3167,8.74,84,100,22.06,overcast clouds
111,Longyearbyen,SJ,78.2186,15.6401,17.44,67,75,9.22,broken clouds
112,Port Hedland,AU,-20.3167,118.5667,86.05,19,0,6.91,clear sky
113,Khatanga,RU,71.9667,102.5,-5.78,100,98,1.88,overcast clouds
114,Cam Ranh,VN,11.9214,109.1591,73.36,100,75,5.75,heavy intensity rain
115,Carnarvon,AU,-24.8667,113.6333,66.87,54,99,12.93,overcast clouds
116,Barrow,US,71.2906,-156.7887,12.22,85,40,5.75,scattered clouds
117,Anju,KP,39.6178,125.6647,52.36,56,0,5.3,clear sky
118,Luderitz,NA,-26.6481,15.1594,57.72,88,3,3.8,clear sky
119,Wagar,SD,16.1525,36.2032,85.24,50,62,9.33,broken clouds
120,Sidney,AU,-33.8679,151.2073,81.34,67,40,4.0,scattered clouds
121,Banda Aceh,ID,5.5577,95.3222,80.31,78,100,6.22,overcast clouds
122,Essex,US,40.7834,-74.2163,61.45,94,90,1.01,mist
123,Cuamba,MZ,-14.8031,36.5372,72.52,68,9,2.73,clear sky
124,Tyrma,RU,50.0833,132.1667,40.84,70,26,3.06,scattered clouds
125,Jamestown,US,42.097,-79.2353,45.99,96,90,5.01,mist
126,Vardo,NO,70.3705,31.1107,35.19,57,100,23.82,overcast clouds
127,Port Elizabeth,ZA,-33.918,25.5701,67.1,85,95,22.28,overcast clouds
128,Tyubuk,RU,56.0552,60.9405,32.45,70,100,11.07,overcast clouds
129,Nyakahanga,TZ,-1.6033,31.1414,60.58,70,100,1.5,overcast clouds
130,Meulaboh,ID,4.1363,96.1285,77.56,86,100,4.27,overcast clouds
131,Yamada,JP,39.4667,141.95,60.06,68,100,4.59,overcast clouds
132,Jiangyou,CN,31.7667,104.7167,58.89,74,100,1.63,overcast clouds
133,Yako,BF,12.9667,-2.2667,82.13,35,11,6.93,few clouds
134,Phalombe,MW,-15.8064,35.6507,68.32,91,7,4.23,clear sky
135,Altea,ES,38.5989,-0.0514,63.91,73,90,6.67,overcast clouds
136,Arman,RU,59.7,150.1667,26.02,67,29,5.17,scattered clouds
137,Morgan City,US,29.6994,-91.2068,75.2,86,77,5.77,broken clouds
138,Teguldet,RU,57.3064,88.1667,29.8,70,100,16.96,overcast clouds
139,Qaqortoq,GL,60.7167,-46.0333,32.5,59,97,7.29,overcast clouds
140,Victoria,HK,22.2855,114.1577,80.26,79,98,1.01,overcast clouds
141,Kapit,MY,2.0167,112.9333,82.63,79,60,1.25,broken clouds
142,Zeya,RU,53.75,127.2667,38.26,78,100,1.14,overcast clouds
143,Ferkessedougou,CI,9.6,-5.2,76.1,73,35,4.29,scattered clouds
144,Liuzhou,CN,24.3126,109.3892,67.96,66,14,8.7,few clouds
145,Airai,TL,-8.9266,125.4092,77.27,39,93,2.44,overcast clouds
146,Saint-Pierre,RE,-21.3393,55.4781,71.28,55,0,8.05,clear sky
147,Cape Town,ZA,-33.9258,18.4232,66.11,64,24,3.0,few clouds
148,Bad Neuenahr-Ahrweiler,DE,50.55,7.1,54.72,89,100,4.0,overcast clouds
149,Karratha,AU,-20.7377,116.8463,80.15,22,0,8.66,clear sky
150,Saint-Philippe,RE,-21.3585,55.7679,71.19,76,5,9.53,clear sky
151,Boyolangu,ID,-8.1181,111.8935,80.31,80,100,5.86,overcast clouds
152,Gizo,SB,-8.103,156.8419,84.56,68,10,5.79,clear sky
153,Taicheng,CN,38.731,113.228,46.71,43,100,1.48,overcast clouds
154,Vila Velha,BR,-20.3297,-40.2925,75.15,88,40,3.44,scattered clouds
155,Norman Wells,CA,65.282,-126.8329,26.55,96,100,4.27,light snow
156,Port Alfred,ZA,-33.5906,26.891,66.92,85,100,28.52,overcast clouds
157,Machilipatnam,IN,16.1667,81.1333,75.4,79,52,6.93,broken clouds
158,Nome,US,64.5011,-165.4064,23.16,78,98,2.01,overcast clouds
159,Gobabis,NA,-22.45,18.9667,74.5,13,100,8.05,overcast clouds
160,Lorengau,PG,-2.0226,147.2712,85.95,65,11,4.88,few clouds
161,Moba,CN,33.2288,105.0179,41.77,80,100,1.66,overcast clouds
162,Simnas,LT,54.4,23.65,47.97,85,100,13.69,overcast clouds
163,Udachnyy,RU,66.4167,112.4,-3.8,100,76,2.95,broken clouds
164,Salinopolis,BR,-0.6136,-47.3561,80.58,81,75,12.84,broken clouds
165,Souillac,MU,-20.5167,57.5167,72.36,69,59,12.5,broken clouds
166,Cherskiy,RU,68.75,161.3,-14.19,98,65,4.05,broken clouds
167,Hobyo,SO,5.3505,48.5268,80.17,76,81,7.47,broken clouds
168,Kamen-Rybolov,RU,44.7481,132.0403,49.89,57,0,8.66,clear sky
